store_name,city,zip_code,latitude,longitude,review_count,price_level,primary_category,target_rating,target_is_successful,median_income,pop_density_sqkm,pct_age_20_39,competitor_count_500m,nearest_transit_distance_m
Singapore Hawker,Coquitlam,V3B 0J1,49.2836123,-122.7982817,147,2,Singaporean,4.0,1,36650.0,5892.83,27.75,6,161.93697669348407
Bubble Waffle,Richmond,V6X 0A4,49.183871723875754,-123.13376631702836,116,1,Chinese,3.4,0,30866.67,2403.59,49.47,24,83.85449360747282
Trattoria by Italian Kitchen,Burnaby,V5H 2A9,49.23020501851105,-123.0039327,407,2,Italian,3.2,0,33788.89,11655.46,39.43,12,121.88640533800285
Wo Fung Noodle Express,Richmond,V6Y 1T1,49.16431799999999,-123.1352578,65,1,Chicken Wings,3.8,0,31729.03,11872.85,29.12,6,63.876107755179014
Landmark Hotpot House,Vancouver,V5Z 2X9,49.2498660758194,-123.11556053834,130,3,Chinese,3.9,0,51336.0,5343.97,33.1,0,55.13900154827208
Shanghai River,Richmond,V6X 4J4,49.17074,-123.13848,884,3,Chinese,3.9,0,29705.88,8964.1,36.65,11,94.69010153844181
Night Owl Cafe,Richmond,V6X 4J8,49.18407,-123.12846,14,2,Cafes,2.9,0,32250.0,4056.41,43.68,15,77.83477197343564
Burger Crush,Vancouver,V6Z 1V3,49.27977707759172,-123.12350184856516,87,2,Burgers,4.3,1,48797.18,23263.66,48.41,21,69.2665965867354
Laughing Bean Coffee Company,Vancouver,V5K 1Z5,49.281419607212,-123.049625348003,66,1,Coffee & Tea,3.5,0,40680.0,6474.1,34.5,2,77.67654953730992
Mek's Delight,Surrey,V3R 1M7,49.1912982626951,-122.808646894991,57,2,Thai,3.9,0,35144.44,7142.91,29.61,1,17.19629891125081
Kami Sushi,Surrey,V3S 9N6,49.04206,-122.77977,48,2,Japanese,4.1,1,40360.0,2808.23,26.9,1,156.49925400127339
Gotham Steakhouse & Bar,Vancouver,V6B 3K3,49.28290359590047,-123.115883832301,477,4,Steakhouses,4.1,1,48162.79,14343.81,51.37,21,24.873761004165587
