latitude,longitude
49.286592,-123.140661
49.179962,-123.09149
49.18267,-123.091448
49.184252,-123.091627
49.182051,-123.091659
49.179586,-123.091105
49.179599,-123.087232
49.178199,-123.084601
49.180787,-123.082085
49.183053,-123.080188
49.266312,-123.008094
49.266542,-123.009458
49.265095,-122.982086
49.264649,-122.980395
49.25941,-122.962966
49.258523,-122.955209
49.25443,-122.938606
49.254139,-122.937052
49.253225,-122.917557
49.182568,-122.559304
49.293537,-122.838479
49.250879,-122.919712
49.250777,-122.919356
49.217289,-123.116608
49.171551,-123.13164
49.244604,-123.019856
49.274962,-123.132056
49.27794,-123.135706
49.279589,-123.137338
49.22204,-123.116425
49.186932,-122.567124
49.182712,-122.929683
49.322138,-122.855795
49.280964,-123.138406
49.236831,-122.870969
49.236997,-122.8711
49.283478,-123.136106
49.282191,-123.003044
49.300172,-122.835368
49.300062,-122.835526
49.237553,-122.892648
49.241548,-122.997353
49.016476,-123.079556
49.27563,-122.964554
49.279834,-122.97013
49.278787,-122.845471
49.279358,-122.838591
49.28063,-122.830879
49.272539,-123.148302
49.280637,-122.833714
49.278915,-122.845681
49.247786,-122.762468
49.242472,-122.762497
49.259302,-122.9278
49.127969,-123.096021
49.152873,-122.901627
49.280019,-123.114489
49.135762,-122.61103
49.13588,-122.61123
49.276811,-123.124629
49.326512,-122.949168
49.204352,-122.836473
49.284778,-122.801761
49.300339,-122.79179
49.294729,-122.788704
49.298993,-122.78761
49.292615,-122.790129
49.267676,-122.756
49.24518,-122.762542
49.167956,-122.975056
49.30081,-122.796798
49.118797,-122.755909
49.118876,-122.735903
49.202286,-122.940342
49.206235,-122.845834
49.281477,-123.117549
49.146242,-122.756697
49.291372,-122.824052
49.289083,-122.83355
49.108911,-122.879043
49.11234,-122.867983
49.111851,-122.873913
49.111737,-122.872683
49.110572,-122.879193
49.21392,-123.140853
49.287718,-123.023214
49.090072,-123.085518
49.253498,-122.8967
49.107725,-122.734514
49.107856,-122.733279
49.213261,-123.144003
49.107855,-122.730925
49.278926,-122.848134
49.278797,-122.847702
49.278015,-122.964558
49.284281,-122.760387
49.265986,-123.079816
49.220613,-122.672576
49.118495,-122.668744
49.21358,-123.148376
49.219859,-122.98817
49.280441,-122.988354
49.28043,-122.984501
49.277133,-122.909375
49.191931,-123.123173
49.215648,-123.148305
49.206245,-122.556574
49.212093,-122.556652
49.205265,-122.556808
49.211555,-122.556883
49.21665,-122.55685
49.217447,-123.14921
49.200252,-123.010666
49.264976,-122.991151
49.452393,-123.237667
49.21882,-122.984964
49.219817,-123.150612
49.221627,-123.012703
49.218127,-123.012508
49.214602,-123.012488
49.215171,-123.0123
49.20769,-122.97389
49.221951,-123.151884
49.209028,-122.972921
49.210454,-122.972279
49.214778,-123.004608
49.214862,-122.999848
49.214888,-122.994317
49.214873,-123.009187
49.214922,-122.989193
49.118681,-122.734154
49.224765,-123.15354
49.118733,-122.74546
49.11868,-122.711957
49.118783,-122.706555
49.118908,-122.700371
49.118979,-122.695869
49.158596,-122.668182
49.119112,-122.697661
49.119036,-122.702518
49.118909,-122.708121
49.225393,-123.155125
49.118828,-122.712983
49.11894,-122.746743
49.191485,-123.141798
49.221141,-122.689447
49.222496,-122.694363
49.222501,-122.696219
49.222731,-122.697676
49.227498,-123.155196
49.22429,-122.697301
49.224298,-122.69453
49.224312,-122.691095
49.225549,-122.686323
49.225554,-122.682032
49.224982,-122.676923
49.21694,-122.675166
49.214673,-122.674125
49.214134,-122.671672
49.230145,-123.155632
49.21199,-122.670819
49.210753,-122.672335
49.211523,-122.676583
49.214474,-122.678639
49.211844,-122.678195
49.214448,-122.683394
49.21547,-122.683748
49.214497,-122.993973
49.231163,-123.155603
49.212593,-122.994004
49.210732,-122.994011
49.208615,-122.996792
49.220674,-122.656936
49.225729,-122.631874
49.224048,-122.631889
49.223199,-122.631885
49.218665,-122.631956
49.272608,-123.152989
49.232961,-123.155537
49.216218,-122.631989
49.215285,-122.631858
49.227258,-122.601426
49.217963,-122.631811
49.223909,-122.601462
49.2349,-123.155429
49.219438,-122.631799
49.221082,-122.597881
49.223603,-122.631776
49.224907,-122.631757
49.220665,-122.65716
49.236779,-123.155392
49.280456,-122.832769
49.108542,-122.879218
49.350855,-123.252168
49.214867,-123.005284
49.238609,-123.155335
49.224417,-123.011162
49.222441,-123.01246
49.209454,-122.953563
49.204316,-122.977921
49.205818,-122.968894
49.205619,-122.967999
49.206235,-122.952433
49.2102,-122.954091
49.217181,-122.59665
49.217028,-122.601051
49.220874,-122.59391
49.22277,-122.593855
49.204851,-122.975514
49.241393,-123.153894
49.266404,-123.087137
49.269283,-123.101217
49.266199,-123.132576
49.265832,-123.120144
49.242436,-123.153359
49.266425,-123.114936
49.269029,-123.109733
49.269125,-123.104153
49.266743,-123.095812
49.266021,-123.086122
49.216888,-122.664763
49.245478,-123.153186
49.203898,-123.023178
49.265799,-123.079054
49.265873,-123.079049
49.212629,-123.012493
49.213596,-122.660143
49.220113,-122.590426
49.108571,-122.735851
49.247961,-123.153085
49.05737,-123.076889
49.206144,-123.017836
49.07374,-123.078933
49.287913,-122.915262
49.287702,-122.914775
49.251937,-123.152909
49.206391,-123.015277
49.284576,-123.117067
49.272645,-123.155439
49.285048,-123.116344
49.294363,-122.770892
49.178984,-123.124761
49.235131,-123.101698
49.206149,-122.952684
49.06021,-122.807545
49.254791,-123.15286
49.228417,-122.790545
49.09645,-122.625752
49.09569,-122.623945
49.221056,-122.670767
49.257604,-123.152846
49.276179,-123.124555
49.173705,-123.128278
49.038515,-122.818687
49.03611,-123.066984
49.212044,-122.958701
49.202765,-123.134919
49.25498,-123.24893
49.284375,-122.827603
49.07214,-122.822421
49.211303,-123.091221
49.236125,-122.873272
49.194719,-122.845091
49.060991,-122.812831
49.06158,-122.813185
49.18861,-122.940844
49.259061,-123.249148
49.257665,-123.249997
49.259575,-123.254983
49.270734,-123.254576
