store_name,city,latitude,longitude,target_rating,target_is_successful,neighbourhood_name,competitor_count_500m,nearest_transit_distance_m
Miku,Vancouver,49.28691298612272,-123.11304877258942,4.4,1,Downtown,17,18.016058741646436
Kingyo,Vancouver,49.29073911099211,-123.13705023185994,4.4,1,Denman Village,13,67.12389420118018
Fanny Bay Oyster Bar & Shellfish Market,Vancouver,49.2787525,-123.1138689,4.4,1,Yaletown,16,58.12782738293309
Phnom Penh,Vancouver,49.278431,-123.098205,4.2,1,Downtown Eastside,5,97.91810475733658
Nemesis Coffee,Vancouver,49.28281595985871,-123.11027107703038,4.4,1,Gastown,20,29.921418284342163
Cactus Club Cafe,Vancouver,49.288953168131265,-123.1170999,4.2,1,Financial District,12,245.2332960520999
Kosoo,Vancouver,49.28494,-123.12592,4.3,1,Davie Village,11,116.00006036151755
The Flying Pig - Yaletown,Vancouver,49.27501,-123.122,4.0,1,Yaletown,19,41.17995688192717
OEB Breakfast Co. - Yaletown,Vancouver,49.273438,-123.119289,4.3,1,Yaletown,11,126.63179826788908
Lunch Lady,Vancouver,49.27497,-123.06915,4.2,1,Little Italy,0,26.65637435986467
Ramen DANBO - Robson,Vancouver,49.2874959131639,-123.128934167326,4.4,1,Lower Robson,12,59.77120741026365
Chinatown BBQ,Vancouver,49.280294,-123.1015,4.5,1,Chinatown,13,61.826644650149575
Guu with Garlic,Vancouver,49.290249,-123.1338142,4.3,1,Lower Robson,13,12.52314887376158
Jam Cafe on Beatty,Vancouver,49.2802586,-123.1096376,4.4,1,Chinatown,19,53.63485047752803
Saku,Vancouver,49.28923400821203,-123.13230361739016,4.5,1,Lower Robson,14,19.06277491233838
Medina Cafe,Vancouver,49.2804429972571,-123.117036269849,4.2,1,Yaletown,19,108.35438108453413
Ask For Luigi,Vancouver,49.2844485,-123.0976786,4.1,1,Japantown,4,140.21573015889925
Manoush'eh,Vancouver,49.276653,-123.125728,4.8,1,Yaletown,24,34.52474980382144
Tendon Kohaku,Vancouver,49.28107123873706,-123.12179426645872,4.3,1,Downtown,20,93.59177718726454
Japadog,Vancouver,49.28023880376068,-123.1183512558197,3.9,0,Yaletown,23,87.23914647799376
AnnaLena,Vancouver,49.2708261,-123.1467714,4.5,1,Kitsilano,4,176.34457498564964
Blue Water Cafe,Vancouver,49.2761945,-123.1209935,4.4,1,Yaletown,25,184.93336476521884
Botanist,Vancouver,49.2882901,-123.116555,4.3,1,Financial District,12,194.193877453685
Cardero's Restaurant & Marine Pub,Vancouver,49.2914561357511,-123.127575841549,3.9,0,Coal Harbour,9,191.1321879242539
Chambar,Vancouver,49.2801460007961,-123.109925328073,4.2,1,Chinatown,19,32.84746246653956
Lupo,Vancouver,49.278222058049096,-123.11735347768747,4.3,1,Yaletown,21,129.7526362494496
Saku,Vancouver,49.2631006,-123.11667523250104,4.3,1,Fairview,8,32.28566411987487
Din Tai Fung 鼎泰豐,Vancouver,49.28562,-123.124798,4.4,1,West End,12,122.14393927162791
Fat Mao Noodles,Vancouver,49.27982129999999,-123.1267997,4.4,1,Yaletown,17,104.52113655183466
Nightingale,Vancouver,49.2874110331456,-123.117770967577,4.2,1,Financial District,15,66.98423544307808
The Fish Counter,Vancouver,49.250774041930285,-123.1012792,4.4,1,Riley Park,4,17.590674624909582
Elisa,Vancouver,49.27597599917006,-123.12142339325408,4.3,1,Yaletown,23,147.1631502791943
La Belle Patate,Vancouver,49.2820547306569,-123.133442922354,4.2,1,Davie Village,4,10.782288245137778
Salmon n' Bannock,Vancouver,49.2631378,-123.1296705,4.5,1,Fairview,1,49.78713961415875
Hello Nori ,Vancouver,49.28559747478766,-123.1261163,4.5,1,Davie Village,10,49.88375925906814
Tokyo In April,Vancouver,49.2806813,-123.1073936,4.4,1,Chinatown,19,24.90959925756874
The Red Accordion,Vancouver,49.29025,-123.131768,4.6,1,Lower Robson,13,83.58864871257039
Kokoro Tokyo Mazesoba,Vancouver,49.2833927,-123.115078,4.1,1,Downtown,21,48.60017658465843
Maruhachi Ra-men,Vancouver,49.2905691,-123.1333951,4.3,1,Lower Robson,13,41.80437283649973
Happy Noodle House,Vancouver,49.27664,-123.12578,4.6,1,Yaletown,24,34.02548772907132
Mazahr Lebanese Kitchen,Vancouver,49.2615511,-123.1383052,4.7,1,South Granville,1,46.51157583870222
Tap & Barrel - Convention Centre,Vancouver,49.289845529586,-123.116857235515,3.8,0,Financial District,10,345.6260323306837
Calabash Bistro,Vancouver,49.281004479966,-123.104228199529,4.0,1,Chinatown,17,64.9020048252157
Sura Korean Cuisine,Vancouver,49.2888601838143,-123.131742169312,4.1,1,Lower Robson,14,43.741747276590154
Dinesty Dumpling House,Vancouver,49.2908176,-123.1343912,3.9,0,Lower Robson,12,84.88591901852101
Encore Suite,Vancouver,49.2776420028873,-123.109174971689,4.3,1,Downtown,7,143.18947504303492
Kishimoto Japanese Kitchen,Vancouver,49.2665099,-123.06935,4.4,1,Grandview-Woodland,1,132.29739302730903
LOCAL Public Eatery Gastown,Vancouver,49.2836468,-123.1039495,4.3,1,Gastown,15,142.87222344169612
Alouette Bistro,Vancouver,49.2853,-123.11829,4.3,1,Financial District,19,85.34953640145096
Tom Sushi,Vancouver,49.2815608,-123.1327476,4.7,1,Davie Village,5,21.16003423208933
Sawasdee Thai Restaurant,Vancouver,49.24703,-123.1008,4.0,1,Riley Park,1,120.09330757117355
Cactus Club Cafe,Vancouver,49.28554081466174,-123.11881637137162,4.1,1,Financial District,19,43.47358892882296
Tavola,Vancouver,49.2918164,-123.1357186,4.4,1,Lower Robson,11,65.83401866539032
Fritz European Fry House,Vancouver,49.2772045,-123.1265253,4.2,1,Yaletown,22,25.865813330267375
The Sandbar Seafood Restaurant,Vancouver,49.271502,-123.134151,3.7,0,South Granville,2,361.01066746939097
ONIGIRI YA,Vancouver,49.26339,-123.11652,4.6,1,Fairview,8,6.678860193750218
Alchemy Bar and Kitchen,Vancouver,49.27422,-123.124,4.2,1,Yaletown,17,128.93725279774492
Linh Cafe,Vancouver,49.2746716,-123.12989802,3.9,0,Granville,10,89.95986943766403
JOEY Burrard,Vancouver,49.282606,-123.1231879,4.1,1,Downtown,21,54.55291244483032
Rodney's Oyster House,Vancouver,49.274326,-123.123131,4.0,1,Yaletown,18,74.32290006895414
Riley's Vancouver,Vancouver,49.287641996861865,-123.1151089,4.3,1,Downtown,14,154.75566780070673
Published on Main,Vancouver,49.25283186017385,-123.10116032897228,4.3,1,Riley Park,3,48.80749788810439
Pourhouse Restaurant,Vancouver,49.2841134475502,-123.10842879595,4.0,1,Gastown,20,94.9623047859062
Hokkaido Ramen Santouka,Vancouver,49.263127,-123.1168917,4.2,1,Fairview,8,40.59180435220434
Social Corner- Coal Harbour,Vancouver,49.28789956950066,-123.11817217614248,4.5,1,Financial District,14,119.03831206827329
ARC Restaurant,Vancouver,49.28733537787621,-123.11385049155078,4.0,1,Financial District,14,62.29366163490229
Breakfast Table,Vancouver,49.25855,-123.13856,4.3,1,Fairview,1,27.90070349350148
Nero Waffles,Vancouver,49.27834403099929,-123.122044653573,4.4,1,Granville,32,64.19859942071194
Angus T,Vancouver,49.2762326068102,-123.119233623147,4.3,1,Yaletown,26,66.5077691612502
Nook,Vancouver,49.2917554,-123.1352974,4.2,1,Lower Robson,11,73.23016013922218
Fresh Donair,Vancouver,49.2792016361722,-123.12335201658,4.7,1,Granville,32,96.84285121907531
Seaport City Seafood Restaurant,Vancouver,49.263921119674905,-123.115152,4.2,1,Fairview,7,63.029969693515326
Le Crocodile Restaurant,Vancouver,49.2825393,-123.1252052,4.3,1,West End,17,57.470293970622656
Jeju,Vancouver,49.26228121460416,-123.0920469229725,4.5,1,Mount Pleasant,1,36.45769331633955
Fable Diner,Vancouver,49.2630749,-123.1019822,3.9,0,Mount Pleasant,4,88.13699893877123
Mount Everest Kitchen & Grill,Vancouver,49.28343057225757,-123.1142148824853,4.6,1,Downtown,22,57.847696312459725
The Magnet,Vancouver,49.28242131064444,-123.11118325952978,4.6,1,Chinatown,18,14.671275283084992
España Restaurant,Vancouver,49.2880552,-123.1404114,4.2,1,Denman Village,3,59.12639236246667
Robba Da Matti,Vancouver,49.283146323514835,-123.10375675641404,4.6,1,Gastown,16,100.90842140528632
Takenaka,Vancouver,49.2783093,-123.0755801,4.3,1,Grandview-Woodland,0,235.49404203295592
Mott 32,Vancouver,49.2868703881444,-123.124537612795,3.9,0,Coal Harbour,13,30.425898250530302
Peaked Pies,Vancouver,49.2896489,-123.1384797,4.4,1,Denman Village,13,51.52549399575768
St Lawrence Restaurant,Vancouver,49.2832584031253,-123.097993419888,4.4,1,Downtown Eastside,10,10.930447176184115
Raisu,Vancouver,49.2679990419609,-123.158381134272,4.3,1,Kitsilano,0,70.3179299979423
Anh and Chi,Vancouver,49.2550314422938,-123.100882202153,4.0,1,Riley Park,4,7.911230767375117
Nuba in Gastown,Vancouver,49.2827625062516,-123.109646101134,4.0,1,Gastown,19,58.25295567289824
Suyo Modern Peruvian,Vancouver,49.2540292,-123.1010659958052,4.5,1,Riley Park,4,35.312608922287225
Kozak Ukrainian Restaurant,Vancouver,49.28266968028282,-123.1045676752585,4.6,1,Gastown,18,25.769941909627654
Twisted Fork,Vancouver,49.283155,-123.104441,4.1,1,Gastown,17,80.50847009876263
Cockney Kings Fish & Chips,Vancouver,49.272672,-123.148627,4.8,1,Kitsilano,3,27.832981356298493
The Dirty Apron Delicatessen,Vancouver,49.2805632,-123.1091772,4.5,1,Chinatown,19,96.99520847529544
John 3:16 Malaysian Delights,Vancouver,49.26371,-123.12812,4.2,1,Fairview,2,48.203133682204864
Marulilu Cafe,Vancouver,49.26338,-123.11415,4.0,1,Mount Pleasant,7,31.853446860580696
Moose's Down Under,Vancouver,49.285638,-123.11634,3.9,0,Financial District,17,65.60564823224279
