store_name,city,latitude,longitude,target_rating,target_is_successful,median_income,pop_density_sqkm,pct_age_20_39,competitor_count_500m,nearest_transit_distance_m
Miku,Vancouver,49.28691298612272,-123.11304877258942,4.4,1,45590.91,10902.6,48.6,43,18.016058741646436
Kingyo,Vancouver,49.29073911099211,-123.13705023185994,4.4,1,45670.18,26340.41,43.5,25,67.12389420118018
Fanny Bay Oyster Bar & Shellfish Market,Vancouver,49.2787525,-123.1138689,4.4,1,49876.74,17564.06,49.46,46,58.12782738293309
Cactus Club Cafe,Vancouver,49.288953168131265,-123.1170999,4.2,1,45507.69,11268.16,46.63,33,245.2332960520999
Phnom Penh,Vancouver,49.278431,-123.098205,4.2,1,38531.25,9012.49,41.88,13,97.91810475733658
Guu with Garlic,Vancouver,49.290249,-123.1338142,4.3,1,45147.54,24598.78,44.21,24,12.52314887376158
The Flying Pig - Yaletown,Vancouver,49.27501,-123.122,4.0,1,51596.0,20042.06,46.94,35,41.17995688192717
Kosoo,Vancouver,49.28494,-123.12592,4.3,1,45331.51,22831.24,49.03,29,116.00006036151755
Ramen DANBO - Robson,Vancouver,49.2874959131639,-123.128934167326,4.4,1,45588.41,21925.39,46.3,26,59.77120741026365
Lunch Lady,Vancouver,49.27497,-123.06915,4.2,1,45062.86,6833.43,36.64,3,26.65637435986467
Saku,Vancouver,49.28923400821203,-123.13230361739016,4.5,1,45545.45,22153.3,43.79,26,19.06277491233838
Nemesis Coffee,Vancouver,49.28281595985871,-123.11027107703038,4.4,1,47059.26,11555.62,51.66,53,29.921418284342163
Japadog,Vancouver,49.28023880376068,-123.1183512558197,3.9,0,49033.33,18192.7,50.63,63,87.23914647799376
Chinatown BBQ,Vancouver,49.280294,-123.1015,4.4,1,38296.55,12191.04,42.36,30,61.826644650149575
OEB Breakfast Co. - Yaletown,Vancouver,49.273438,-123.119289,4.3,1,53163.83,19943.68,48.4,21,126.63179826788908
Ask For Luigi,Vancouver,49.2844485,-123.0976786,4.1,1,36635.71,8493.28,37.58,11,140.21573015889925
AnnaLena,Vancouver,49.2708261,-123.1467714,4.5,1,54808.33,8546.23,41.65,13,176.34457498564964
Jam Cafe on Beatty,Vancouver,49.2802586,-123.1096376,4.4,1,48429.41,13454.61,48.95,43,53.63485047752803
Cardero's Restaurant & Marine Pub,Vancouver,49.2914561357511,-123.127575841549,3.9,0,44679.07,22035.63,43.23,16,191.1321879242539
Manoush'eh,Vancouver,49.276653,-123.125728,4.8,1,49743.33,22818.21,47.47,42,34.52474980382144
Tendon Kohaku,Vancouver,49.28107123873706,-123.12179426645872,4.3,1,47770.42,21320.82,49.26,48,93.59177718726454
Din Tai Fung 鼎泰豐,Vancouver,49.28562,-123.124798,4.4,1,45241.79,19012.31,48.54,31,122.14393927162793
Chambar,Vancouver,49.2801460007961,-123.109925328073,4.2,1,48120.0,13733.22,48.82,43,32.84746246653956
Blue Water Cafe,Vancouver,49.2761945,-123.1209935,4.4,1,51362.26,21291.91,48.29,49,184.93336476521884
Medina Cafe,Vancouver,49.2804429972571,-123.117036269849,4.2,1,48950.98,18255.76,50.62,60,108.35438108453411
Tom Sushi,Vancouver,49.2815608,-123.1327476,4.7,1,46325.64,25058.72,49.04,10,21.16003423208933
Hello Nori ,Vancouver,49.28559747478766,-123.1261163,4.5,1,45140.85,22129.21,48.26,26,49.88375925906814
Lupo,Vancouver,49.278222058049096,-123.11735347768747,4.3,1,50952.08,20315.08,50.46,52,129.7526362494496
The Red Accordion,Vancouver,49.29025,-123.131768,4.6,1,45387.1,22644.64,43.75,24,83.58864871257039
Botanist,Vancouver,49.2882901,-123.116555,4.3,1,46059.26,11616.93,47.74,36,194.193877453685
Fat Mao Noodles,Vancouver,49.27982129999999,-123.1267997,4.4,1,48612.82,24414.96,48.47,36,104.52113655183466
JOEY Burrard,Vancouver,49.282606,-123.1231879,4.1,1,46740.28,20371.01,50.19,45,54.55291244483032
Nightingale,Vancouver,49.2874110331456,-123.117770967577,4.2,1,46325.0,12484.69,48.29,42,66.98423544307808
Riley's Vancouver,Vancouver,49.287641996861865,-123.1151089,4.3,1,45824.0,11637.95,48.28,37,154.75566780070673
The Fish Counter,Vancouver,49.250774041930285,-123.1012792,4.4,1,49648.72,6693.66,35.05,9,17.590674624909582
Kokoro Tokyo Mazesoba,Vancouver,49.2833927,-123.115078,4.1,1,48435.0,14327.25,51.32,59,48.60017658465843
Saku,Vancouver,49.2631006,-123.11667523250104,4.3,1,56410.0,8660.42,38.38,23,32.28566411987487
La Belle Patate,Vancouver,49.2820547306569,-123.133442922354,4.2,1,45473.08,24198.29,48.94,9,10.782288245137778
Fritz European Fry House,Vancouver,49.2772045,-123.1265253,4.2,1,49603.12,25751.01,47.79,38,25.865813330267375
Salmon n' Bannock,Vancouver,49.2631378,-123.1296705,4.5,1,54507.5,10940.23,40.47,7,49.78713961415875
