store_name,city,latitude,longitude,target_rating,target_is_successful
Miku,Vancouver,49.28691298612272,-123.11304877258942,4.4,1
Kingyo,Vancouver,49.29073911099211,-123.13705023185994,4.4,1
Fanny Bay Oyster Bar & Shellfish Market,Vancouver,49.2787525,-123.1138689,4.4,1
Cactus Club Cafe,Vancouver,49.288953168131265,-123.1170999,4.2,1
Phnom Penh,Vancouver,49.278431,-123.098205,4.2,1
Guu with Garlic,Vancouver,49.290249,-123.1338142,4.3,1
The Flying Pig - Yaletown,Vancouver,49.27501,-123.122,4.0,1
Kosoo,Vancouver,49.28494,-123.12592,4.3,1
Ramen DANBO - Robson,Vancouver,49.2874959131639,-123.128934167326,4.4,1
Lunch Lady,Vancouver,49.27497,-123.06915,4.2,1
Saku,Vancouver,49.28923400821203,-123.13230361739015,4.5,1
Nemesis Coffee,Vancouver,49.28281595985871,-123.11027107703038,4.4,1
Japadog,Vancouver,49.28023880376068,-123.1183512558197,3.9,0
Chinatown BBQ,Vancouver,49.280294,-123.1015,4.4,1
OEB Breakfast Co. - Yaletown,Vancouver,49.273438,-123.119289,4.3,1
Ask For Luigi,Vancouver,49.2844485,-123.0976786,4.1,1
AnnaLena,Vancouver,49.2708261,-123.1467714,4.5,1
Jam Cafe on Beatty,Vancouver,49.2802586,-123.1096376,4.4,1
Cardero's Restaurant & Marine Pub,Vancouver,49.2914561357511,-123.127575841549,3.9,0
Manoush'eh,Vancouver,49.276653,-123.125728,4.8,1
Tendon Kohaku,Vancouver,49.28107123873706,-123.12179426645872,4.3,1
Din Tai Fung 鼎泰豐,Vancouver,49.28562,-123.124798,4.4,1
Chambar,Vancouver,49.2801460007961,-123.109925328073,4.2,1
Blue Water Cafe,Vancouver,49.2761945,-123.1209935,4.4,1
Medina Cafe,Vancouver,49.2804429972571,-123.117036269849,4.2,1
Tom Sushi,Vancouver,49.2815608,-123.1327476,4.7,1
Hello Nori ,Vancouver,49.28559747478766,-123.1261163,4.5,1
Lupo,Vancouver,49.278222058049096,-123.11735347768747,4.3,1
The Red Accordion,Vancouver,49.29025,-123.131768,4.6,1
Botanist,Vancouver,49.2882901,-123.116555,4.3,1
Fat Mao Noodles,Vancouver,49.27982129999999,-123.1267997,4.4,1
JOEY Burrard,Vancouver,49.282606,-123.1231879,4.1,1
Nightingale,Vancouver,49.2874110331456,-123.117770967577,4.2,1
Riley's Vancouver,Vancouver,49.287641996861865,-123.1151089,4.3,1
The Fish Counter,Vancouver,49.250774041930285,-123.1012792,4.4,1
Kokoro Tokyo Mazesoba,Vancouver,49.2833927,-123.115078,4.1,1
Saku,Vancouver,49.2631006,-123.11667523250104,4.3,1
La Belle Patate,Vancouver,49.2820547306569,-123.133442922354,4.2,1
Fritz European Fry House,Vancouver,49.2772045,-123.1265253,4.2,1
Salmon n' Bannock,Vancouver,49.2631378,-123.1296705,4.5,1
Kishimoto Japanese Kitchen,Vancouver,49.2665099,-123.06935,4.4,1
Sura Korean Cuisine,Vancouver,49.2888601838143,-123.131742169312,4.1,1
Elisa,Vancouver,49.27597599917006,-123.12142339325409,4.3,1
Maruhachi Ra-men,Vancouver,49.2905691,-123.1333951,4.3,1
Tokyo In April,Vancouver,49.2806813,-123.1073936,4.4,1
Hokkaido Ramen Santouka,Vancouver,49.263127,-123.1168917,4.2,1
Shizen Ya,Vancouver,49.2808844,-123.1246278,4.3,1
Cactus Club Cafe,Vancouver,49.28554081466174,-123.11881637137162,4.1,1
Sawasdee Thai Restaurant,Vancouver,49.24703,-123.1008,4.0,1
Calabash Bistro,Vancouver,49.281004479966,-123.104228199529,4.0,1
Mazahr Lebanese Kitchen,Vancouver,49.2615511,-123.1383052,4.7,1
Happy Noodle House,Vancouver,49.27664,-123.12578,4.6,1
LOCAL Public Eatery Gastown,Vancouver,49.2836468,-123.1039495,4.3,1
Tap & Barrel - Convention Centre,Vancouver,49.289845529586,-123.116857235515,3.8,0
Social Corner- Coal Harbour,Vancouver,49.28789956950066,-123.11817217614248,4.5,1
Kozak Ukrainian Restaurant,Vancouver,49.28266968028282,-123.1045676752585,4.6,1
Encore Suite,Vancouver,49.2776420028873,-123.109174971689,4.3,1
Nook,Vancouver,49.2917554,-123.1352974,4.2,1
Alouette Bistro,Vancouver,49.2853,-123.11829,4.3,1
Alchemy Bar and Kitchen,Vancouver,49.27422,-123.124,4.3,1
Okeya Kyujiro,Vancouver,49.27581579131156,-123.1197521,4.8,1
Suyo Modern Peruvian,Vancouver,49.2540292,-123.10106599580521,4.5,1
Le Crocodile Restaurant,Vancouver,49.2825393,-123.1252052,4.3,1
Pink Peppercorn Seafood House,Vancouver,49.2493583,-123.0739159,4.4,1
Pourhouse Restaurant,Vancouver,49.2841134475502,-123.10842879595,4.0,1
Linh Cafe,Vancouver,49.2746716,-123.12989802,3.9,0
The Northern Cafe and Grill,Vancouver,49.208549754278906,-123.0724741261907,4.7,1
Hokkaido Ramen Santouka,Vancouver,49.290236,-123.133811,4.2,1
ARC Restaurant,Vancouver,49.28733537787621,-123.11385049155078,4.0,1
iDen & Quan Ju De Beijing Duck House,Vancouver,49.26021,-123.1148451,3.6,0
The Sandbar Seafood Restaurant,Vancouver,49.271502,-123.134151,3.7,0
Five Sails Restaurant,Vancouver,49.2880313351364,-123.113292160758,4.4,1
Dinesty Dumpling House,Vancouver,49.2908176,-123.1343912,3.9,0
St Lawrence Restaurant,Vancouver,49.2832584031253,-123.097993419888,4.4,1
Rodney's Oyster House,Vancouver,49.274326,-123.123131,4.0,1
Twisted Fork,Vancouver,49.283155,-123.104441,4.1,1
Dosanko,Vancouver,49.28278,-123.09194,4.0,1
España Restaurant,Vancouver,49.2880552,-123.1404114,4.2,1
Nero Waffles,Vancouver,49.27834403099929,-123.12204465357301,4.4,1
Peaked Pies,Vancouver,49.2896489,-123.1384797,4.4,1
John 3:16 Malaysian Delights,Vancouver,49.26371,-123.12812,4.2,1
Cockney Kings Fish & Chips,Vancouver,49.272672,-123.148627,4.8,1
ONIGIRI YA,Vancouver,49.26339,-123.11652,4.6,1
Nuba in Gastown,Vancouver,49.2827625062516,-123.109646101134,4.0,1
The Magnet,Vancouver,49.28242131064444,-123.11118325952978,4.6,1
Sooda Korean BBQ,Vancouver,49.28256,-123.10628,4.6,1
Anh and Chi,Vancouver,49.2550314422938,-123.100882202153,4.0,1
Jeju,Vancouver,49.26228121460416,-123.0920469229725,4.5,1
Robba Da Matti,Vancouver,49.283146323514835,-123.10375675641403,4.6,1
The Mexican Antojitos Y Cantina,Vancouver,49.2787726,-123.1240268,4.3,1
Zarak By Afghan Kitchen,Vancouver,49.266224,-123.1006089,4.5,1
The Mackenzie Room,Vancouver,49.2832349,-123.0948578,4.5,1
Published on Main,Vancouver,49.25283186017385,-123.10116032897228,4.3,1
