store_name,city,latitude,longitude,target_rating,target_is_successful,neighbourhood_name,competitor_count_500m,nearest_transit_distance_m,median_income,pop_density_sqkm,pct_age_20_39
Miku,Vancouver,49.28691298612272,-123.11304877258942,4.4,1,Downtown,17,18.016058741646436,45590.91,10902.6,48.6
Kingyo,Vancouver,49.29073911099211,-123.13705023185994,4.4,1,Denman Village,13,67.12389420118018,45670.18,26340.41,43.5
Fanny Bay Oyster Bar & Shellfish Market,Vancouver,49.2787525,-123.1138689,4.4,1,Yaletown,16,58.12782738293309,49876.74,17564.06,49.46
Phnom Penh,Vancouver,49.278431,-123.098205,4.2,1,Downtown Eastside,5,97.91810475733658,38531.25,9012.49,41.88
Nemesis Coffee,Vancouver,49.28281595985871,-123.11027107703038,4.4,1,Gastown,20,29.921418284342163,47059.26,11555.62,51.66
Cactus Club Cafe,Vancouver,49.288953168131265,-123.1170999,4.2,1,Financial District,12,245.2332960520999,45507.69,11268.16,46.63
Kosoo,Vancouver,49.28494,-123.12592,4.3,1,Davie Village,11,116.00006036151755,45331.51,22831.24,49.03
The Flying Pig - Yaletown,Vancouver,49.27501,-123.122,4.0,1,Yaletown,19,41.17995688192717,51596.0,20042.06,46.94
OEB Breakfast Co. - Yaletown,Vancouver,49.273438,-123.119289,4.3,1,Yaletown,11,126.63179826788908,53163.83,19943.68,48.4
Lunch Lady,Vancouver,49.27497,-123.06915,4.2,1,Little Italy,0,26.65637435986467,45062.86,6833.43,36.64
Ramen DANBO - Robson,Vancouver,49.2874959131639,-123.128934167326,4.4,1,Lower Robson,12,59.77120741026365,45588.41,21925.39,46.3
Chinatown BBQ,Vancouver,49.280294,-123.1015,4.5,1,Chinatown,13,61.826644650149575,38296.55,12191.04,42.36
Guu with Garlic,Vancouver,49.290249,-123.1338142,4.3,1,Lower Robson,13,12.52314887376158,45147.54,24598.78,44.21
Jam Cafe on Beatty,Vancouver,49.2802586,-123.1096376,4.4,1,Chinatown,19,53.63485047752803,48429.41,13454.61,48.95
Saku,Vancouver,49.28923400821203,-123.13230361739016,4.5,1,Lower Robson,14,19.06277491233838,45545.45,22153.3,43.79
Medina Cafe,Vancouver,49.2804429972571,-123.117036269849,4.2,1,Yaletown,19,108.35438108453413,48950.98,18255.76,50.62
Ask For Luigi,Vancouver,49.2844485,-123.0976786,4.1,1,Japantown,4,140.21573015889925,36635.71,8493.28,37.58
Manoush'eh,Vancouver,49.276653,-123.125728,4.8,1,Yaletown,24,34.52474980382144,49743.33,22818.21,47.47
Tendon Kohaku,Vancouver,49.28107123873706,-123.12179426645872,4.3,1,Downtown,20,93.59177718726454,47770.42,21320.82,49.26
Japadog,Vancouver,49.28023880376068,-123.1183512558197,3.9,0,Yaletown,23,87.23914647799376,49033.33,18192.7,50.63
AnnaLena,Vancouver,49.2708261,-123.1467714,4.5,1,Kitsilano,4,176.34457498564964,54808.33,8546.23,41.65
Blue Water Cafe,Vancouver,49.2761945,-123.1209935,4.4,1,Yaletown,25,184.93336476521884,51362.26,21291.91,48.29
Botanist,Vancouver,49.2882901,-123.116555,4.3,1,Financial District,12,194.193877453685,46059.26,11616.93,47.74
Cardero's Restaurant & Marine Pub,Vancouver,49.2914561357511,-123.127575841549,3.9,0,Coal Harbour,9,191.1321879242539,44679.07,22035.63,43.23
Chambar,Vancouver,49.2801460007961,-123.109925328073,4.2,1,Chinatown,19,32.84746246653956,48120.0,13733.22,48.82
Lupo,Vancouver,49.278222058049096,-123.11735347768747,4.3,1,Yaletown,21,129.7526362494496,50952.08,20315.08,50.46
Saku,Vancouver,49.2631006,-123.11667523250104,4.3,1,Fairview,8,32.28566411987487,56410.0,8660.42,38.38
Din Tai Fung 鼎泰豐,Vancouver,49.28562,-123.124798,4.4,1,West End,12,122.14393927162791,45241.79,19012.31,48.54
Fat Mao Noodles,Vancouver,49.27982129999999,-123.1267997,4.4,1,Yaletown,17,104.52113655183466,48612.82,24414.96,48.47
Nightingale,Vancouver,49.2874110331456,-123.117770967577,4.2,1,Financial District,15,66.98423544307808,46325.0,12484.69,48.29
