store_name,city,latitude,longitude,review_count,price_level,primary_category,target_rating,target_is_successful,median_income,pop_density_sqkm,pct_age_20_39
Singapore Hawker,Coquitlam,49.2836123,-122.7982817,147,2,Singaporean,4.0,1,36650.0,5892.83,27.75
Bubble Waffle,Richmond,49.183871723875754,-123.13376631702836,116,1,Chinese,3.4,0,30866.67,2403.59,49.47
Trattoria by Italian Kitchen,Burnaby,49.23020501851105,-123.0039327,407,2,Italian,3.2,0,33788.89,11655.46,39.43
Wo Fung Noodle Express,Richmond,49.16431799999999,-123.1352578,65,1,Chicken Wings,3.8,0,31729.03,11872.85,29.12
Landmark Hotpot House,Vancouver,49.2498660758194,-123.11556053834,130,3,Chinese,3.9,0,51336.0,5343.97,33.1
Shanghai River,Richmond,49.17074,-123.13848,884,3,Chinese,3.9,0,29705.88,8964.1,36.65
Night Owl Cafe,Richmond,49.18407,-123.12846,14,2,Cafes,2.9,0,32250.0,4056.41,43.68
Burger Crush,Vancouver,49.27977707759172,-123.12350184856516,87,2,Burgers,4.3,1,48797.18,23263.66,48.41
Laughing Bean Coffee Company,Vancouver,49.281419607212,-123.049625348003,66,1,Coffee & Tea,3.5,0,40680.0,6474.1,34.5
Mek's Delight,Surrey,49.1912982626951,-122.808646894991,57,2,Thai,3.9,0,35144.44,7142.91,29.61
Kami Sushi,Surrey,49.04206,-122.77977,48,2,Japanese,4.1,1,40360.0,2808.23,26.9
Gotham Steakhouse & Bar,Vancouver,49.28290359590047,-123.115883832301,477,4,Steakhouses,4.1,1,48162.79,14343.81,51.37
Liquids And Solids,Vancouver,49.28135,-123.08461,24,1,Cafes,3.6,0,33389.47,3939.03,31.09
Breka Bakery & Café,Vancouver,49.24383730986246,-123.10114614665508,68,2,Bakeries,3.9,0,47051.85,4312.25,30.54
Tap & Barrel - Convention Centre,Vancouver,49.289845529586,-123.116857235515,390,2,Comfort Food,3.8,0,44895.24,12146.31,45.88
Burnaby Palace Restaurant,Burnaby,49.25629080307701,-123.0231239309792,145,2,Chinese,3.4,0,37235.29,2714.87,28.98
Taf's Café,Vancouver,49.2810768,-123.1202897,58,1,Cafes,2.4,0,47913.24,19614.69,50.19
Second Cup,Vancouver,49.2450981314324,-123.12436663912466,9,1,Cafes,3.0,0,49125.0,3076.33,32.8
Captain Wa,Richmond,49.1698185,-123.1330757,19,1,Chinese,3.8,0,30231.58,9843.9,36.09
Dinesty Dumpling House,Richmond,49.17337272804199,-123.14636050013584,102,2,Dim Sum,3.8,0,29600.0,5868.75,39.61
Waves Coffee House,Surrey,49.19847,-122.851331,14,1,Coffee & Tea,3.5,0,34866.67,5558.69,43.55
St Lawrence Restaurant,Vancouver,49.2832584031253,-123.097993419888,196,3,French,4.4,1,37579.31,8625.43,38.62
Continental Coffee House,Vancouver,49.2472882191904,-123.101281828922,61,1,Cafes,4.0,1,48990.62,6065.56,31.94
Dragon Village Restaurant,Surrey,49.10558,-122.73478,27,1,Chinese,4.3,1,41200.0,2752.94,28.74
TurF,Vancouver,49.2682200041763,-123.151621297002,66,2,Cafes,3.8,0,55439.58,9783.32,41.05
Pak Punjab Sweet & Samosas House,Surrey,49.17733,-122.86766,25,1,Pakistani,4.0,1,32314.29,5059.33,36.25
Maruhachi Ra-Men,Vancouver,49.27854065320407,-123.1157914,282,2,Ramen,4.1,1,50206.12,18095.77,50.6
Dublin Crossing Irish Pub,Surrey,49.12426199999999,-122.702092,92,2,Irish,3.4,0,48225.0,4937.76,28.16
Cha Don,Richmond,49.18085294842844,-123.1350690443588,27,2,Hong Kong Style Cafe,4.3,1,29750.0,4620.35,43.33
Happy Lamb Hot Pot,Burnaby,49.2280567,-122.9973696,173,2,Hot Pot,3.4,0,32884.85,10455.46,42.51
Pho Holiday,Coquitlam,49.24880778894382,-122.8631980544926,53,1,Vietnamese,4.1,1,39450.0,3810.34,27.79
Chongqing,Burnaby,49.22671131459038,-122.99363543518692,106,2,Chinese,3.4,0,32141.67,9633.84,42.42
Mean Poutine,Vancouver,49.2794438014385,-123.123368918896,309,1,Hot Dogs,3.9,0,48877.14,23249.57,48.36
The Keg Steakhouse + Bar,Surrey,49.14734458968876,-122.88976,56,3,Steakhouses,3.8,0,33730.0,6426.82,32.57
Tom Sushi,Vancouver,49.2815608,-123.1327476,392,2,Sushi Bars,4.7,1,46325.64,25058.72,49.04
Katsu San,Richmond,49.169982779066,-123.181773349643,180,2,Japanese,4.5,1,34033.33,2769.24,23.14
Waves Coffee House,New Westminster,49.2021378,-122.9101707,45,1,Coffee & Tea,3.1,0,45472.73,11770.84,40.94
YL's Curry Bowl,Surrey,49.18444,-122.79879,33,1,Malaysian,4.0,1,36390.91,5654.79,27.35
Bodega On Main,Vancouver,49.27548853708847,-123.09968391901442,246,2,Spanish,3.8,0,40803.57,12065.71,46.37
Earls Kitchen + Bar,Vancouver,49.285968141691775,-123.12656576441812,246,2,Canadian (New),3.8,0,45286.96,21868.16,48.38
