store_name,city,latitude,longitude,target_rating,target_is_successful,neighbourhood_name
Miku,Vancouver,49.28691298612272,-123.11304877258942,4.4,1,Downtown
Kingyo,Vancouver,49.29073911099211,-123.13705023185994,4.4,1,Denman Village
Fanny Bay Oyster Bar & Shellfish Market,Vancouver,49.2787525,-123.1138689,4.4,1,Yaletown
Phnom Penh,Vancouver,49.278431,-123.098205,4.2,1,Downtown Eastside
Nemesis Coffee,Vancouver,49.28281595985871,-123.11027107703038,4.4,1,Gastown
Cactus Club Cafe,Vancouver,49.288953168131265,-123.1170999,4.2,1,Financial District
Kosoo,Vancouver,49.28494,-123.12592,4.3,1,Davie Village
The Flying Pig - Yaletown,Vancouver,49.27501,-123.122,4.0,1,Yaletown
OEB Breakfast Co. - Yaletown,Vancouver,49.273438,-123.119289,4.3,1,Yaletown
Lunch Lady,Vancouver,49.27497,-123.06915,4.2,1,Little Italy
Ramen DANBO - Robson,Vancouver,49.2874959131639,-123.128934167326,4.4,1,Lower Robson
Chinatown BBQ,Vancouver,49.280294,-123.1015,4.5,1,Chinatown
Guu with Garlic,Vancouver,49.290249,-123.1338142,4.3,1,Lower Robson
Jam Cafe on Beatty,Vancouver,49.2802586,-123.1096376,4.4,1,Chinatown
Saku,Vancouver,49.28923400821203,-123.13230361739015,4.5,1,Lower Robson
Medina Cafe,Vancouver,49.2804429972571,-123.117036269849,4.2,1,Yaletown
Ask For Luigi,Vancouver,49.2844485,-123.0976786,4.1,1,Japantown
Manoush'eh,Vancouver,49.276653,-123.125728,4.8,1,Yaletown
Tendon Kohaku,Vancouver,49.28107123873706,-123.12179426645872,4.3,1,Downtown
Japadog,Vancouver,49.28023880376068,-123.1183512558197,3.9,0,Yaletown
AnnaLena,Vancouver,49.2708261,-123.1467714,4.5,1,Kitsilano
Blue Water Cafe,Vancouver,49.2761945,-123.1209935,4.4,1,Yaletown
Botanist,Vancouver,49.2882901,-123.116555,4.3,1,Financial District
Cardero's Restaurant & Marine Pub,Vancouver,49.2914561357511,-123.127575841549,3.9,0,Coal Harbour
Chambar,Vancouver,49.2801460007961,-123.109925328073,4.2,1,Chinatown
Lupo,Vancouver,49.278222058049096,-123.11735347768747,4.3,1,Yaletown
Saku,Vancouver,49.2631006,-123.11667523250104,4.3,1,Fairview
Din Tai Fung 鼎泰豐,Vancouver,49.28562,-123.124798,4.4,1,West End
Fat Mao Noodles,Vancouver,49.27982129999999,-123.1267997,4.4,1,Yaletown
Nightingale,Vancouver,49.2874110331456,-123.117770967577,4.2,1,Financial District
The Fish Counter,Vancouver,49.250774041930285,-123.1012792,4.4,1,Riley Park
Elisa,Vancouver,49.27597599917006,-123.12142339325409,4.3,1,Yaletown
