store_name,city,latitude,longitude,target_rating,target_is_successful,competitor_count_500m,nearest_transit_distance_m
Miku,Vancouver,49.28691298612272,-123.11304877258942,4.4,1,18,18.016058741646436
The Flying Pig - Yaletown,Vancouver,49.27501,-123.122,4.0,1,19,41.17995688192717
Phnom Penh,Vancouver,49.278431,-123.098205,4.2,1,3,97.91810475733658
Kingyo,Vancouver,49.29073911099211,-123.13705023185994,4.4,1,13,67.12389420118018
Fanny Bay Oyster Bar & Shellfish Market,Vancouver,49.2787525,-123.1138689,4.4,1,15,58.12782738293309
Cactus Club Cafe,Vancouver,49.288953168131265,-123.1170999,4.2,1,16,245.2332960520999
Saku,Vancouver,49.2631006,-123.11667523250104,4.3,1,9,32.28566411987487
Nemesis Coffee,Vancouver,49.28281595985871,-123.11027107703038,4.4,1,19,29.921418284342163
Saku,Vancouver,49.28923400821203,-123.13230361739016,4.5,1,13,19.06277491233838
Manoush'eh,Vancouver,49.276653,-123.125728,4.8,1,23,34.52474980382144
Guu with Garlic,Vancouver,49.290249,-123.1338142,4.3,1,13,12.52314887376158
Ramen DANBO - Robson,Vancouver,49.2874959131639,-123.128934167326,4.4,1,13,59.77120741026365
Chinatown BBQ,Vancouver,49.280294,-123.1015,4.4,1,10,61.826644650149575
Lunch Lady,Vancouver,49.27497,-123.06915,4.2,1,1,26.65637435986467
Tendon Kohaku,Vancouver,49.28107123873706,-123.12179426645872,4.3,1,17,93.59177718726454
Blue Water Cafe,Vancouver,49.2761945,-123.1209935,4.4,1,23,184.93336476521884
Kosoo,Vancouver,49.28494,-123.12592,4.3,1,13,116.00006036151755
Din Tai Fung 鼎泰豐,Vancouver,49.28562,-123.124798,4.4,1,15,122.14393927162793
Ask For Luigi,Vancouver,49.2844485,-123.0976786,4.1,1,3,140.21573015889925
Joe Fortes Seafood & Chop House,Vancouver,49.284968691771624,-123.12455980835064,4.0,1,17,182.5853751721908
Chambar,Vancouver,49.2801460007961,-123.109925328073,4.2,1,20,32.84746246653956
Fat Mao Noodles,Vancouver,49.27982129999999,-123.1267997,4.4,1,15,104.52113655183466
Hello Nori ,Vancouver,49.28559747478766,-123.1261163,4.5,1,12,49.88375925906814
AnnaLena,Vancouver,49.2708261,-123.1467714,4.5,1,4,176.34457498564964
Tom Sushi,Vancouver,49.2815608,-123.1327476,4.7,1,5,21.16003423208933
The Fish Counter,Vancouver,49.250774041930285,-123.1012792,4.4,1,4,17.590674624909582
Nightingale,Vancouver,49.2874110331456,-123.117770967577,4.2,1,18,66.98423544307808
Cardero's Restaurant & Marine Pub,Vancouver,49.2914561357511,-123.127575841549,3.9,0,9,191.1321879242539
OEB Breakfast Co. - Yaletown,Vancouver,49.273438,-123.119289,4.3,1,12,126.63179826788908
La Belle Patate,Vancouver,49.2820547306569,-123.133442922354,4.2,1,4,10.782288245137778
Happy Noodle House,Vancouver,49.27664,-123.12578,4.6,1,23,34.02548772907132
Jam Cafe on Beatty,Vancouver,49.2802586,-123.1096376,4.4,1,20,53.63485047752803
Alouette Bistro,Vancouver,49.2853,-123.11829,4.3,1,23,85.34953640145096
Japadog,Vancouver,49.28023880376068,-123.1183512558197,3.9,0,23,87.23914647799376
Kishimoto Japanese Kitchen,Vancouver,49.2665099,-123.06935,4.4,1,0,132.29739302730903
Lupo,Vancouver,49.278222058049096,-123.11735347768747,4.3,1,20,129.7526362494496
Salmon n' Bannock,Vancouver,49.2631378,-123.1296705,4.5,1,2,49.78713961415875
Botanist,Vancouver,49.2882901,-123.116555,4.3,1,15,194.193877453685
Medina Cafe,Vancouver,49.2804429972571,-123.117036269849,4.2,1,18,108.35438108453411
Kokoro Tokyo Mazesoba,Vancouver,49.2833927,-123.115078,4.1,1,21,48.60017658465843
Elisa,Vancouver,49.27597599917006,-123.12142339325408,4.3,1,21,147.1631502791943
The Magnet,Vancouver,49.28242131064444,-123.11118325952978,4.6,1,19,14.671275283084992
Okeya Kyujiro,Vancouver,49.27581579131156,-123.1197521,4.8,1,19,97.53086948772435
Cockney Kings Fish & Chips,Vancouver,49.272672,-123.148627,4.8,1,3,27.832981356298493
Maruhachi Ra-men,Vancouver,49.2905691,-123.1333951,4.3,1,13,41.804372836499724
Sura Korean Cuisine,Vancouver,49.2888601838143,-123.131742169312,4.1,1,13,43.741747276590154
Hokkaido Ramen Santouka,Vancouver,49.263127,-123.1168917,4.2,1,9,40.59180435220434
Riley's Vancouver,Vancouver,49.287641996861865,-123.1151089,4.3,1,17,154.75566780070673
The Red Accordion,Vancouver,49.29025,-123.131768,4.6,1,13,83.58864871257039
Social Corner- Coal Harbour,Vancouver,49.28789956950066,-123.11817217614248,4.4,1,16,119.03831206827327
Indian Delicacy,Vancouver,49.28749,-123.12141,4.5,1,19,109.48356606604766
Tokyo In April,Vancouver,49.2806813,-123.1073936,4.4,1,17,24.90959925756874
Cactus Club Cafe,Vancouver,49.28554081466174,-123.11881637137162,4.1,1,23,43.47358892882296
Peaceful Restaurant,Vancouver,49.263147,-123.116143,3.6,0,9,31.793486384000733
Mazahr Lebanese Kitchen,Vancouver,49.2615511,-123.1383052,4.7,1,0,46.51157583870222
Nuba in Gastown,Vancouver,49.2827625062516,-123.109646101134,4.0,1,18,58.25295567289824
Hokkaido Ramen Santouka,Vancouver,49.290236,-123.133811,4.2,1,13,12.129937086738893
Caveman Cafe,Vancouver,49.280802324947445,-123.10703500282293,4.4,1,17,10.85113292041144
Tap & Barrel - Convention Centre,Vancouver,49.289845529586,-123.116857235515,3.8,0,13,345.6260323306837
Fritz European Fry House,Vancouver,49.2772045,-123.1265253,4.2,1,21,25.865813330267375
Raisu,Vancouver,49.2679990419609,-123.158381134272,4.3,1,0,70.3179299979423
Nero Waffles,Vancouver,49.27834403099929,-123.122044653573,4.4,1,28,64.19859942071194
Alchemy Bar and Kitchen,Vancouver,49.27422,-123.124,4.3,1,17,128.93725279774492
LOCAL Public Eatery Gastown,Vancouver,49.2836468,-123.1039495,4.3,1,12,142.87222344169612
Nook,Vancouver,49.2917554,-123.1352974,4.2,1,11,73.23016013922218
JOEY Burrard,Vancouver,49.282606,-123.1231879,4.1,1,20,54.55291244483032
Mount Everest Kitchen & Grill,Vancouver,49.28343057225757,-123.1142148824853,4.6,1,21,57.847696312459725
Sawasdee Thai Restaurant,Vancouver,49.24703,-123.1008,4.0,1,1,120.09330757117357
The Sandbar Seafood Restaurant,Vancouver,49.271502,-123.134151,3.7,0,2,361.01066746939097
Shizen Ya,Vancouver,49.2808844,-123.1246278,4.3,1,18,132.55770429391694
Dinesty Dumpling House,Vancouver,49.2908176,-123.1343912,3.9,0,12,84.88591901852101
Kozak Ukrainian Restaurant,Vancouver,49.28266968028282,-123.1045676752585,4.6,1,15,25.769941909627654
Linh Cafe,Vancouver,49.2746716,-123.12989802,3.9,0,10,89.95986943766403
