store_name,city,zip_code,latitude,longitude,review_count,price_level,primary_category,target_rating,target_is_successful
Miku,Vancouver,V6C 1S4,49.28691298612272,-123.11304877258942,2598,3.0,Japanese,4.4,1
Cactus Club Cafe,Vancouver,V6C 0C3,49.288953168131265,-123.1170999,1070,2.0,Canadian (New),4.2,1
Phnom Penh,Vancouver,V6A 1Z7,49.278431,-123.098205,1941,2.0,Cambodian,4.2,1
The Flying Pig - Yaletown,Vancouver,V6B 2S2,49.27501,-123.122,1434,2.0,Canadian (New),4.0,1
Kingyo,Vancouver,V6G 2L9,49.29073911099211,-123.13705023185994,1298,3.0,Japanese,4.4,1
Ramen DANBO - Robson,Vancouver,V6E 2B1,49.2874959131639,-123.128934167326,764,2.0,Ramen,4.4,1
Fanny Bay Oyster Bar & Shellfish Market,Vancouver,V6B 2P2,49.2787525,-123.1138689,978,3.0,Seafood,4.4,1
Kosoo,Vancouver,V6E 1B2,49.28494,-123.12592,175,2.0,Korean,4.3,1
Guu with Garlic,Vancouver,V6G 1C7,49.290249,-123.1338142,1115,2.0,Japanese,4.3,1
Hello Nori ,Vancouver,V6E 1B5,49.28559747478766,-123.1261163,328,2.0,Japanese,4.5,1
Lunch Lady,Vancouver,V5L 3W9,49.27497,-123.06915,368,2.0,Vietnamese,4.2,1
Japadog,Vancouver,V6B 2B7,49.28023880376068,-123.1183512558197,964,2.0,Japanese,3.9,0
Joe Fortes Seafood & Chop House,Vancouver,V6E 3V5,49.284968691771624,-123.12455980835065,1448,4.0,Seafood,4.0,1
Cardero's Restaurant & Marine Pub,Vancouver,V6G 3E7,49.2914561357511,-123.127575841549,777,3.0,Seafood,3.9,0
La Belle Patate,Vancouver,V6E 1N4,49.2820547306569,-123.133442922354,610,2.0,Poutineries,4.2,1
Saku,Vancouver,V6G 2G5,49.28923400821203,-123.13230361739015,525,2.0,Japanese,4.5,1
Nemesis Coffee,Vancouver,V6B 2N4,49.28281595985871,-123.11027107703038,420,2.0,Cafes,4.4,1
Social Corner- Coal Harbour,Vancouver,V6E 2E9,49.28789956950066,-123.11817217614248,17,,Tapas/Small Plates,4.5,1
