store_name,city,zip_code,latitude,longitude,review_count,price_level,primary_category,target_rating,target_is_successful
Singapore Hawker,Coquitlam,V3B 0J1,49.2836123,-122.7982817,147,2,Singaporean,4.0,1
Bubble Waffle,Richmond,V6X 0A4,49.183871723875754,-123.13376631702836,116,1,Chinese,3.4,0
Trattoria by Italian Kitchen,Burnaby,V5H 2A9,49.23020501851105,-123.0039327,407,2,Italian,3.2,0
Wo Fung Noodle Express,Richmond,V6Y 1T1,49.16431799999999,-123.1352578,65,1,Chicken Wings,3.8,0
Landmark Hotpot House,Vancouver,V5Z 2X9,49.2498660758194,-123.11556053834,130,3,Chinese,3.9,0
Shanghai River,Richmond,V6X 4J4,49.17074,-123.13848,884,3,Chinese,3.9,0
Night Owl Cafe,Richmond,V6X 4J8,49.18407,-123.12846,14,2,Cafes,2.9,0
Burger Crush,Vancouver,V6Z 1V3,49.27977707759172,-123.12350184856517,87,2,Burgers,4.3,1
Laughing Bean Coffee Company,Vancouver,V5K 1Z5,49.281419607212,-123.049625348003,66,1,Coffee & Tea,3.5,0
Mek's Delight,Surrey,V3R 1M7,49.1912982626951,-122.808646894991,57,2,Thai,3.9,0
Kami Sushi,Surrey,V3S 9N6,49.04206,-122.77977,48,2,Japanese,4.1,1
Gotham Steakhouse & Bar,Vancouver,V6B 3K3,49.28290359590047,-123.115883832301,477,4,Steakhouses,4.1,1
Liquids And Solids,Vancouver,V6A,49.28135,-123.08461,24,1,Cafes,3.6,0
Breka Bakery & Café,Vancouver,V5V 3R5,49.24383730986246,-123.10114614665508,68,2,Bakeries,3.9,0
Tap & Barrel - Convention Centre,Vancouver,V6C 0C3,49.289845529586,-123.116857235515,390,2,Comfort Food,3.8,0
Burnaby Palace Restaurant,Burnaby,V5M 4A2,49.25629080307701,-123.02312393097921,145,2,Chinese,3.4,0
Taf's Café,Vancouver,V6Z 1K7,49.2810768,-123.1202897,58,1,Cafes,2.4,0
Second Cup,Vancouver,V6H 3N1,49.2450981314324,-123.12436663912466,9,1,Cafes,3.0,0
Captain Wa,Richmond,V6X 3Y2,49.1698185,-123.1330757,19,1,Chinese,3.8,0
Dinesty Dumpling House,Richmond,V7C 0B8,49.17337272804199,-123.14636050013584,102,2,Dim Sum,3.8,0
Waves Coffee House,Surrey,V3T 0E6,49.19847,-122.851331,14,1,Coffee & Tea,3.5,0
St Lawrence Restaurant,Vancouver,V6A 1G3,49.2832584031253,-123.097993419888,196,3,French,4.4,1
Continental Coffee House,Vancouver,V5V 3P8,49.2472882191904,-123.101281828922,61,1,Cafes,4.0,1
Dragon Village Restaurant,Surrey,V3S 4C6,49.10558,-122.73478,27,1,Chinese,4.3,1
TurF,Vancouver,V6J 1N3,49.2682200041763,-123.151621297002,66,2,Cafes,3.8,0
Pak Punjab Sweet & Samosas House,Surrey,V3V 6V9,49.17733,-122.86766,25,1,Pakistani,4.0,1
Maruhachi Ra-Men,Vancouver,V6B 0E7,49.27854065320407,-123.1157914,282,2,Ramen,4.1,1
Dublin Crossing Irish Pub,Surrey,V3S 7Y3,49.12426199999999,-122.702092,92,2,Irish,3.4,0
Cha Don,Richmond,V6X 4E4,49.18085294842844,-123.13506904435879,27,2,Hong Kong Style Cafe,4.3,1
