store_name,city,latitude,longitude,target_rating,target_is_successful,neighbourhood_name,dissemination_area_id,population,pop_density_sqkm,age_demographic,median_income
Miku,Vancouver,49.28691298612272,-123.11304877258942,4.4,1,Downtown,59153466,693.0,1992.5,32.8,38800.0
Kingyo,Vancouver,49.29073911099211,-123.13705023185994,4.4,1,Denman Village,59153589,905.0,27591.5,45.6,48400.0
Fanny Bay Oyster Bar & Shellfish Market,Vancouver,49.2787525,-123.1138689,4.4,1,Yaletown,59154027,1577.0,18596.7,35.2,55600.0
Phnom Penh,Vancouver,49.278431,-123.098205,4.2,1,Downtown Eastside,59150757,1054.0,13375.6,40.0,37600.0
Nemesis Coffee,Vancouver,49.28281595985871,-123.11027107703038,4.4,1,Gastown,59154181,686.0,14503.2,56.4,25600.0
Cactus Club Cafe,Vancouver,49.288953168131265,-123.1170999,4.2,1,Financial District,59153997,1173.0,7400.6,52.0,53600.0
Kosoo,Vancouver,49.28494,-123.12592,4.3,1,Davie Village,59153682,683.0,12984.8,33.2,44800.0
The Flying Pig - Yaletown,Vancouver,49.27501,-123.122,4.0,1,Yaletown,59153470,853.0,11542.6,46.8,57600.0
OEB Breakfast Co. - Yaletown,Vancouver,49.273438,-123.119289,4.3,1,Yaletown,59153471,1359.0,43006.3,46.4,62000.0
Lunch Lady,Vancouver,49.27497,-123.06915,4.2,1,Little Italy,59153231,477.0,8457.4,38.0,56000.0
Ramen DANBO - Robson,Vancouver,49.2874959131639,-123.128934167326,4.4,1,Lower Robson,59153479,1126.0,33313.6,37.2,42000.0
Chinatown BBQ,Vancouver,49.280294,-123.1015,4.5,1,Chinatown,59153585,1256.0,9827.9,37.6,34400.0
Guu with Garlic,Vancouver,49.290249,-123.1338142,4.3,1,Lower Robson,59150840,419.0,23942.9,37.2,39200.0
Jam Cafe on Beatty,Vancouver,49.2802586,-123.1096376,4.4,1,Chinatown,59154185,1303.0,33324.8,36.8,53600.0
Saku,Vancouver,49.28923400821203,-123.13230361739016,4.5,1,Lower Robson,59153839,1379.0,15742.0,49.2,31200.0
Medina Cafe,Vancouver,49.2804429972571,-123.117036269849,4.2,1,Yaletown,59154145,890.0,26176.5,35.6,60000.0
Ask For Luigi,Vancouver,49.2844485,-123.0976786,4.1,1,Japantown,59150762,435.0,5520.3,52.4,31200.0
Manoush'eh,Vancouver,49.276653,-123.125728,4.8,1,Yaletown,59154147,655.0,38988.1,38.4,36000.0
Tendon Kohaku,Vancouver,49.28107123873706,-123.12179426645872,4.3,1,Downtown,59154143,844.0,6111.5,34.0,49600.0
Japadog,Vancouver,49.28023880376068,-123.1183512558197,3.9,0,Yaletown,59154144,1309.0,40153.4,32.8,51200.0
AnnaLena,Vancouver,49.2708261,-123.1467714,4.5,1,Kitsilano,59150627,524.0,5658.7,41.6,61200.0
Blue Water Cafe,Vancouver,49.2761945,-123.1209935,4.4,1,Yaletown,59153470,853.0,11542.6,46.8,57600.0
Botanist,Vancouver,49.2882901,-123.116555,4.3,1,Financial District,59153997,1173.0,7400.6,52.0,53600.0
Cardero's Restaurant & Marine Pub,Vancouver,49.2914561357511,-123.127575841549,3.9,0,Coal Harbour,59153987,1500.0,20862.3,49.6,44000.0
Chambar,Vancouver,49.2801460007961,-123.109925328073,4.2,1,Chinatown,59154185,1303.0,33324.8,36.8,53600.0
Lupo,Vancouver,49.278222058049096,-123.11735347768747,4.3,1,Yaletown,59153843,2188.0,44112.9,34.0,58800.0
Saku,Vancouver,49.2631006,-123.11667523250104,4.3,1,Fairview,59153152,939.0,7060.2,50.0,54000.0
Din Tai Fung 鼎泰豐,Vancouver,49.28562,-123.124798,4.4,1,West End,59153483,869.0,11449.3,41.2,43200.0
Fat Mao Noodles,Vancouver,49.27982129999999,-123.1267997,4.4,1,Yaletown,59153849,1052.0,30317.0,38.8,38800.0
Nightingale,Vancouver,49.2874110331456,-123.117770967577,4.2,1,Financial District,59153995,196.0,2737.4,39.2,
The Fish Counter,Vancouver,49.250774041930285,-123.1012792,4.4,1,Riley Park,59150685,839.0,7606.5,38.8,44800.0
Elisa,Vancouver,49.27597599917006,-123.12142339325408,4.3,1,Yaletown,59153470,853.0,11542.6,46.8,57600.0
La Belle Patate,Vancouver,49.2820547306569,-123.133442922354,4.2,1,Davie Village,59153678,603.0,34655.2,38.0,36000.0
Salmon n' Bannock,Vancouver,49.2631378,-123.1296705,4.5,1,Fairview,59153135,855.0,15745.9,35.2,45600.0
Hello Nori ,Vancouver,49.28559747478766,-123.1261163,4.5,1,Davie Village,59153483,869.0,11449.3,41.2,43200.0
Tokyo In April,Vancouver,49.2806813,-123.1073936,4.4,1,Chinatown,59154187,1027.0,8800.3,34.8,48000.0
The Red Accordion,Vancouver,49.29025,-123.131768,4.6,1,Lower Robson,59150841,430.0,23888.9,32.4,36400.0
Kokoro Tokyo Mazesoba,Vancouver,49.2833927,-123.115078,4.1,1,Downtown,59154146,1156.0,5606.2,37.6,47200.0
Maruhachi Ra-men,Vancouver,49.2905691,-123.1333951,4.3,1,Lower Robson,59150841,430.0,23888.9,32.4,36400.0
Happy Noodle House,Vancouver,49.27664,-123.12578,4.6,1,Yaletown,59154147,655.0,38988.1,38.4,36000.0
Mazahr Lebanese Kitchen,Vancouver,49.2615511,-123.1383052,4.7,1,South Granville,59153139,486.0,13500.0,37.6,45600.0
Tap & Barrel - Convention Centre,Vancouver,49.289845529586,-123.116857235515,3.8,0,Financial District,59153997,1173.0,7400.6,52.0,53600.0
Calabash Bistro,Vancouver,49.281004479966,-123.104228199529,4.0,1,Chinatown,59153585,1256.0,9827.9,37.6,34400.0
Sura Korean Cuisine,Vancouver,49.2888601838143,-123.131742169312,4.1,1,Lower Robson,59153839,1379.0,15742.0,49.2,31200.0
Dinesty Dumpling House,Vancouver,49.2908176,-123.1343912,3.9,0,Lower Robson,59153836,291.0,16166.7,40.0,42400.0
Encore Suite,Vancouver,49.2776420028873,-123.109174971689,4.3,1,Downtown,59154186,586.0,20854.1,31.4,64000.0
Kishimoto Japanese Kitchen,Vancouver,49.2665099,-123.06935,4.4,1,Grandview-Woodland,59150356,473.0,5551.6,40.0,50000.0
LOCAL Public Eatery Gastown,Vancouver,49.2836468,-123.1039495,4.3,1,Gastown,59153578,630.0,1635.5,43.2,45600.0
Alouette Bistro,Vancouver,49.2853,-123.11829,4.3,1,Financial District,59154146,1156.0,5606.2,37.6,47200.0
Tom Sushi,Vancouver,49.2815608,-123.1327476,4.7,1,Davie Village,59153679,967.0,13411.9,36.4,40000.0
Sawasdee Thai Restaurant,Vancouver,49.24703,-123.1008,4.0,1,Riley Park,59150688,528.0,6866.1,41.2,50400.0
Cactus Club Cafe,Vancouver,49.28554081466174,-123.11881637137162,4.1,1,Financial District,59154146,1156.0,5606.2,37.6,47200.0
Tavola,Vancouver,49.2918164,-123.1357186,4.4,1,Lower Robson,59153586,1105.0,281.8,46.8,47600.0
Fritz European Fry House,Vancouver,49.2772045,-123.1265253,4.2,1,Yaletown,59150784,631.0,37117.6,36.4,31400.0
The Sandbar Seafood Restaurant,Vancouver,49.271502,-123.134151,3.7,0,South Granville,59153689,775.0,2581.6,51.2,49200.0
ONIGIRI YA,Vancouver,49.26339,-123.11652,4.6,1,Fairview,59154172,1672.0,13626.7,37.2,64500.0
Alchemy Bar and Kitchen,Vancouver,49.27422,-123.124,4.2,1,Yaletown,59150788,719.0,29346.9,45.6,44000.0
Linh Cafe,Vancouver,49.2746716,-123.12989802,3.9,0,Granville,59154140,1451.0,20552.4,46.0,52800.0
JOEY Burrard,Vancouver,49.282606,-123.1231879,4.1,1,Downtown,59154143,844.0,6111.5,34.0,49600.0
Rodney's Oyster House,Vancouver,49.274326,-123.123131,4.0,1,Yaletown,59150788,719.0,29346.9,45.6,44000.0
Riley's Vancouver,Vancouver,49.287641996861865,-123.1151089,4.3,1,Downtown,59153466,693.0,1992.5,32.8,38800.0
Published on Main,Vancouver,49.25283186017385,-123.10116032897228,4.3,1,Riley Park,59150684,741.0,7833.0,37.2,55200.0
Pourhouse Restaurant,Vancouver,49.2841134475502,-123.10842879595,4.0,1,Gastown,59153578,630.0,1635.5,43.2,45600.0
Hokkaido Ramen Santouka,Vancouver,49.263127,-123.1168917,4.2,1,Fairview,59153152,939.0,7060.2,50.0,54000.0
Social Corner- Coal Harbour,Vancouver,49.28789956950066,-123.11817217614248,4.5,1,Financial District,59153995,196.0,2737.4,39.2,
ARC Restaurant,Vancouver,49.28733537787621,-123.11385049155078,4.0,1,Financial District,59153466,693.0,1992.5,32.8,38800.0
Breakfast Table,Vancouver,49.25855,-123.13856,4.3,1,Fairview,59150639,517.0,18937.7,50.8,58800.0
Nero Waffles,Vancouver,49.27834403099929,-123.122044653573,4.4,1,Granville,59154134,1483.0,29719.4,39.6,37600.0
Angus T,Vancouver,49.2762326068102,-123.119233623147,4.3,1,Yaletown,59153470,853.0,11542.6,46.8,57600.0
Nook,Vancouver,49.2917554,-123.1352974,4.2,1,Lower Robson,59153586,1105.0,281.8,46.8,47600.0
Fresh Donair,Vancouver,49.2792016361722,-123.12335201658,4.7,1,Granville,59154134,1483.0,29719.4,39.6,37600.0
Seaport City Seafood Restaurant,Vancouver,49.263921119674905,-123.115152,4.2,1,Fairview,59154172,1672.0,13626.7,37.2,64500.0
Le Crocodile Restaurant,Vancouver,49.2825393,-123.1252052,4.3,1,West End,59153683,1302.0,32796.0,36.8,50400.0
Jeju,Vancouver,49.26228121460416,-123.0920469229725,4.5,1,Mount Pleasant,59150710,635.0,9379.6,34.8,50000.0
Fable Diner,Vancouver,49.2630749,-123.1019822,3.9,0,Mount Pleasant,59153163,396.0,4835.2,34.8,44800.0
Mount Everest Kitchen & Grill,Vancouver,49.28343057225757,-123.1142148824853,4.6,1,Downtown,59154146,1156.0,5606.2,37.6,47200.0
The Magnet,Vancouver,49.28242131064444,-123.11118325952978,4.6,1,Chinatown,59154181,686.0,14503.2,56.4,25600.0
España Restaurant,Vancouver,49.2880552,-123.1404114,4.2,1,Denman Village,59150865,638.0,17771.6,49.6,47600.0
Robba Da Matti,Vancouver,49.283146323514835,-123.10375675641404,4.6,1,Gastown,59153580,835.0,20617.3,44.8,41200.0
Takenaka,Vancouver,49.2783093,-123.0755801,4.3,1,Grandview-Woodland,59153190,657.0,3268.7,36.8,46800.0
Mott 32,Vancouver,49.2868703881444,-123.124537612795,3.9,0,Coal Harbour,59150850,2626.0,18325.2,37.2,43600.0
Peaked Pies,Vancouver,49.2896489,-123.1384797,4.4,1,Denman Village,59153590,430.0,24431.8,41.2,51600.0
