store_name,city,latitude,longitude,target_rating,target_is_successful,median_income,pop_density_sqkm,pct_age_20_39
Miku,Vancouver,49.28691298612272,-123.11304877258942,4.4,1,45590.91,10902.6,48.6
Kingyo,Vancouver,49.29073911099211,-123.13705023185994,4.4,1,45670.18,26340.41,43.5
Fanny Bay Oyster Bar & Shellfish Market,Vancouver,49.2787525,-123.1138689,4.4,1,49876.74,17564.06,49.46
Cactus Club Cafe,Vancouver,49.288953168131265,-123.1170999,4.2,1,45507.69,11268.16,46.63
Phnom Penh,Vancouver,49.278431,-123.098205,4.2,1,38531.25,9012.49,41.88
Guu with Garlic,Vancouver,49.290249,-123.1338142,4.3,1,45147.54,24598.78,44.21
The Flying Pig - Yaletown,Vancouver,49.27501,-123.122,4.0,1,51596.0,20042.06,46.94
Kosoo,Vancouver,49.28494,-123.12592,4.3,1,45331.51,22831.24,49.03
Ramen DANBO - Robson,Vancouver,49.2874959131639,-123.128934167326,4.4,1,45588.41,21925.39,46.3
Lunch Lady,Vancouver,49.27497,-123.06915,4.2,1,45062.86,6833.43,36.64
Saku,Vancouver,49.28923400821203,-123.13230361739016,4.5,1,45545.45,22153.3,43.79
Nemesis Coffee,Vancouver,49.28281595985871,-123.11027107703038,4.4,1,47059.26,11555.62,51.66
Japadog,Vancouver,49.28023880376068,-123.1183512558197,3.9,0,49033.33,18192.7,50.63
Chinatown BBQ,Vancouver,49.280294,-123.1015,4.4,1,38296.55,12191.04,42.36
OEB Breakfast Co. - Yaletown,Vancouver,49.273438,-123.119289,4.3,1,53163.83,19943.68,48.4
Ask For Luigi,Vancouver,49.2844485,-123.0976786,4.1,1,36635.71,8493.28,37.58
AnnaLena,Vancouver,49.2708261,-123.1467714,4.5,1,54808.33,8546.23,41.65
Jam Cafe on Beatty,Vancouver,49.2802586,-123.1096376,4.4,1,48429.41,13454.61,48.95
Cardero's Restaurant & Marine Pub,Vancouver,49.2914561357511,-123.127575841549,3.9,0,44679.07,22035.63,43.23
Manoush'eh,Vancouver,49.276653,-123.125728,4.8,1,49743.33,22818.21,47.47
Tendon Kohaku,Vancouver,49.28107123873706,-123.12179426645872,4.3,1,47770.42,21320.82,49.26
Din Tai Fung 鼎泰豐,Vancouver,49.28562,-123.124798,4.4,1,45241.79,19012.31,48.54
Chambar,Vancouver,49.2801460007961,-123.109925328073,4.2,1,48120.0,13733.22,48.82
Blue Water Cafe,Vancouver,49.2761945,-123.1209935,4.4,1,51362.26,21291.91,48.29
Medina Cafe,Vancouver,49.2804429972571,-123.117036269849,4.2,1,48950.98,18255.76,50.62
Tom Sushi,Vancouver,49.2815608,-123.1327476,4.7,1,46325.64,25058.72,49.04
Hello Nori ,Vancouver,49.28559747478766,-123.1261163,4.5,1,45140.85,22129.21,48.26
