store_name,city,latitude,longitude,target_rating,target_is_successful,competitor_count_500m,nearest_transit_distance_m
Miku,Vancouver,49.28691298612272,-123.11304877258942,4.4,1,43,18.016058741646436
Kingyo,Vancouver,49.29073911099211,-123.13705023185994,4.4,1,25,67.12389420118018
Fanny Bay Oyster Bar & Shellfish Market,Vancouver,49.2787525,-123.1138689,4.4,1,46,58.12782738293309
Cactus Club Cafe,Vancouver,49.288953168131265,-123.1170999,4.2,1,33,245.2332960520999
Phnom Penh,Vancouver,49.278431,-123.098205,4.2,1,13,97.91810475733658
Guu with Garlic,Vancouver,49.290249,-123.1338142,4.3,1,24,12.52314887376158
The Flying Pig - Yaletown,Vancouver,49.27501,-123.122,4.0,1,35,41.17995688192717
Kosoo,Vancouver,49.28494,-123.12592,4.3,1,29,116.00006036151755
Ramen DANBO - Robson,Vancouver,49.2874959131639,-123.128934167326,4.4,1,26,59.77120741026365
Lunch Lady,Vancouver,49.27497,-123.06915,4.2,1,3,26.65637435986467
Saku,Vancouver,49.28923400821203,-123.13230361739016,4.5,1,26,19.06277491233838
Nemesis Coffee,Vancouver,49.28281595985871,-123.11027107703038,4.4,1,53,29.921418284342163
Japadog,Vancouver,49.28023880376068,-123.1183512558197,3.9,0,63,87.23914647799376
Chinatown BBQ,Vancouver,49.280294,-123.1015,4.4,1,30,61.826644650149575
OEB Breakfast Co. - Yaletown,Vancouver,49.273438,-123.119289,4.3,1,21,126.63179826788908
Ask For Luigi,Vancouver,49.2844485,-123.0976786,4.1,1,11,140.21573015889925
AnnaLena,Vancouver,49.2708261,-123.1467714,4.5,1,13,176.34457498564964
Jam Cafe on Beatty,Vancouver,49.2802586,-123.1096376,4.4,1,43,53.63485047752803
Cardero's Restaurant & Marine Pub,Vancouver,49.2914561357511,-123.127575841549,3.9,0,16,191.1321879242539
Manoush'eh,Vancouver,49.276653,-123.125728,4.8,1,42,34.52474980382144
Tendon Kohaku,Vancouver,49.28107123873706,-123.12179426645872,4.3,1,48,93.59177718726454
Din Tai Fung 鼎泰豐,Vancouver,49.28562,-123.124798,4.4,1,31,122.14393927162793
Chambar,Vancouver,49.2801460007961,-123.109925328073,4.2,1,43,32.84746246653956
Blue Water Cafe,Vancouver,49.2761945,-123.1209935,4.4,1,49,184.93336476521884
Medina Cafe,Vancouver,49.2804429972571,-123.117036269849,4.2,1,60,108.35438108453411
Tom Sushi,Vancouver,49.2815608,-123.1327476,4.7,1,10,21.16003423208933
Hello Nori ,Vancouver,49.28559747478766,-123.1261163,4.5,1,26,49.88375925906814
Lupo,Vancouver,49.278222058049096,-123.11735347768747,4.3,1,52,129.7526362494496
The Red Accordion,Vancouver,49.29025,-123.131768,4.6,1,24,83.58864871257039
Botanist,Vancouver,49.2882901,-123.116555,4.3,1,36,194.193877453685
Fat Mao Noodles,Vancouver,49.27982129999999,-123.1267997,4.4,1,36,104.52113655183466
JOEY Burrard,Vancouver,49.282606,-123.1231879,4.1,1,45,54.55291244483032
Nightingale,Vancouver,49.2874110331456,-123.117770967577,4.2,1,42,66.98423544307808
Riley's Vancouver,Vancouver,49.287641996861865,-123.1151089,4.3,1,37,154.75566780070673
The Fish Counter,Vancouver,49.250774041930285,-123.1012792,4.4,1,9,17.590674624909582
Kokoro Tokyo Mazesoba,Vancouver,49.2833927,-123.115078,4.1,1,59,48.60017658465843
Saku,Vancouver,49.2631006,-123.11667523250104,4.3,1,23,32.28566411987487
La Belle Patate,Vancouver,49.2820547306569,-123.133442922354,4.2,1,9,10.782288245137778
Fritz European Fry House,Vancouver,49.2772045,-123.1265253,4.2,1,38,25.865813330267375
Salmon n' Bannock,Vancouver,49.2631378,-123.1296705,4.5,1,7,49.78713961415875
Kishimoto Japanese Kitchen,Vancouver,49.2665099,-123.06935,4.4,1,2,132.29739302730903
Sura Korean Cuisine,Vancouver,49.2888601838143,-123.131742169312,4.1,1,27,43.741747276590154
Elisa,Vancouver,49.27597599917006,-123.12142339325408,4.3,1,47,147.1631502791943
Maruhachi Ra-men,Vancouver,49.2905691,-123.1333951,4.3,1,24,41.804372836499724
Tokyo In April,Vancouver,49.2806813,-123.1073936,4.4,1,43,24.90959925756874
Hokkaido Ramen Santouka,Vancouver,49.263127,-123.1168917,4.2,1,23,40.59180435220434
Shizen Ya,Vancouver,49.2808844,-123.1246278,4.3,1,42,132.55770429391694
Cactus Club Cafe,Vancouver,49.28554081466174,-123.11881637137162,4.1,1,53,43.47358892882296
Sawasdee Thai Restaurant,Vancouver,49.24703,-123.1008,4.0,1,6,120.09330757117357
Calabash Bistro,Vancouver,49.281004479966,-123.104228199529,4.0,1,37,64.9020048252157
Mazahr Lebanese Kitchen,Vancouver,49.2615511,-123.1383052,4.7,1,5,46.51157583870222
Happy Noodle House,Vancouver,49.27664,-123.12578,4.6,1,41,34.02548772907132
